"eastwest","eumember","country","expert","var00001","party_id","year","party","vote","family","position","salience1","dissent2","future","ep","fiscal","employ","cohesion","environ","asylum","foreign","lrgen","lrecon","galtan","lr_gen","radrt","con","lib","cd","soc","radleft","green","reg","aus","be","dk","esp","fin","fr","ger","gr","irl","it","nl","por","sw","uk","pro_anti"
1,0,5,,,503,1984,"CDS",2.799999952316284,3,6.460000038146973,3.309999942779541,1.090000033378601,,,,,,,,,,,,0.7099999785423279,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
1,0,5,,,504,1984,"IU",4,6,5.360000133514404,3.2699999809265137,2.0899999141693115,,,,,,,,,,,,0.27000001072883606,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
1,0,5,,,505,1984,"CiU",3.9000000953674316,8,6.690000057220459,3.7699999809265137,1.149999976158142,,,,,,,,,,,,0.6599999666213989,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
1,0,5,,,506,1984,"PNV",1.899999976158142,8,6.170000076293945,3.4200000762939453,1.5,,,,,,,,,,,,0.6699999570846558,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
1,0,5,,,508,1984,"HB",1,8,3.130000114440918,2.2200000286102295,1.8799999952316284,,,,,,,,,,,,0.05000000074505806,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,5,,,509,1984,"EE",0.5,5,5.559999942779541,2.890000104904175,1.3799999952316284,,,,,,,,,,,,0.24000000953674316,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
1,0,5,,,510,1984,"PAR",0,8,6.400000095367432,3.200000047683716,1.399999976158142,,,,,,,,,,,,0.8199999928474426,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
1,0,5,,,511,1984,"ERC",0.699999988079071,8,6.570000171661377,3.430000066757202,1.3300000429153442,,,,,,,,,,,,0.4099999964237213,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
1,0,5,,,512,1984,"UV",0,8,6.289999961853027,3.5,1.3300000429153442,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
1,0,5,,,513,1984,"BNG",0.20000000298023224,8,5,3,1.75,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
1,0,5,,,514,1984,"VERDE",0,7,5.25,2.75,1.5,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
1,0,5,,,516,1984,"PA",0.4000000059604645,8,6.170000076293945,3.5,1.5,,,,,,,,,,,,0.44999998807907104,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
1,1,6,,,601,1984,"PCF",16.100000381469727,6,1.7799999713897705,2.440000057220459,1.3300000429153442,,,,,,,,,,,,0.14000000059604645,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,1,6,,,602,1984,"PS",37.79999923706055,5,5.889999866485596,3.440000057220459,2.440000057220459,,,,,,,,,,,,0.25999999046325684,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
1,1,6,,,603,1984,"MRG",0,6,6.25,3.25,1.5,,,,,,,,,,,,0.3799999952316284,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
1,1,6,,,604,1984,"PSU",1.2999999523162842,6,4,2.3299999237060547,2.6700000762939453,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
1,1,6,,,605,1984,"VERTS",1.100000023841858,7,3.859999895095825,2.569999933242798,2.2899999618530273,,,,,,,,,,,,0.3499999940395355,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
1,1,6,,,609,1984,"RPR",20.799999237060547,2,4.110000133514404,2.7799999713897705,2.3299999237060547,,,,,,,,,,,,0.8199999928474426,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
1,1,6,,,610,1984,"FN",0,1,1.440000057220459,2.5,1.2200000286102295,,,,,,,,,,,,0.9800000190734863,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,1,6,,,613,1984,"UDF",19.299999237060547,3,6.260000228881836,3.740000009536743,1.8200000524520874,,,,,,,,,,,,0.6599999666213989,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
1,1,7,,,701,1984,"FF",45.20000076293945,2,5,2.569999933242798,1.8600000143051147,,,,,,,,,,,,0.6299999952316284,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
1,1,7,,,702,1984,"FG",39.20000076293945,4,6.289999961853027,3.140000104904175,1.5700000524520874,,,,,,,,,,,,0.6299999952316284,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
