region_code,region_name,municipality_code,municipality_name,piece,group,x,y
01,Stockholms län,0138,Tyresö,1,10.1,685090.755511574,6573221.91342301
01,Stockholms län,0138,Tyresö,1,10.1,686093.548664659,6573557.0001554
01,Stockholms län,0138,Tyresö,1,10.1,687463.732577386,6573442.6126588
01,Stockholms län,0138,Tyresö,1,10.1,690519.246521097,6571380.89814785
01,Stockholms län,0138,Tyresö,1,10.1,691544.615450855,6570181.47580212
01,Stockholms län,0138,Tyresö,1,10.1,692394.128956578,6569880.80252464
01,Stockholms län,0138,Tyresö,1,10.1,693281.282827594,6569692.55795796
01,Stockholms län,0138,Tyresö,1,10.1,694339.3258625,6567858.6194176
01,Stockholms län,0138,Tyresö,1,10.1,693924.987245938,6567147.70518821
01,Stockholms län,0138,Tyresö,1,10.1,692769.172594728,6566401.8241477
01,Stockholms län,0138,Tyresö,1,10.1,692276.061273194,6565094.04248779
01,Stockholms län,0138,Tyresö,1,10.1,693084.610575191,6564294.93607295
01,Stockholms län,0138,Tyresö,1,10.1,692340.071912264,6563934.98156749
01,Stockholms län,0138,Tyresö,1,10.1,691407.886813849,6563299.804078
01,Stockholms län,0138,Tyresö,1,10.1,690227.59580697,6563751.46438686
12,Skåne län,1260,Bjuv,1,100.1,374235.562149365,6205844.96516997
12,Skåne län,1260,Bjuv,1,100.1,371879.647668433,6205686.5374838
12,Skåne län,1260,Bjuv,1,100.1,368965.333637859,6210212.10801837
12,Skåne län,1260,Bjuv,1,100.1,371273.804935308,6211179.56731643
12,Skåne län,1260,Bjuv,1,100.1,370211.818638718,6214307.5055282
12,Skåne län,1260,Bjuv,1,100.1,368320.126317492,6220268.23668895
12,Skåne län,1260,Bjuv,1,100.1,372683.072695938,6222299.19466502
12,Skåne län,1260,Bjuv,1,100.1,374182.519801178,6221339.24229948
12,Skåne län,1260,Bjuv,1,100.1,376341.339725813,6220915.70362978
12,Skåne län,1260,Bjuv,1,100.1,379482.783447047,6216633.65577533
12,Skåne län,1260,Bjuv,1,100.1,376664.642742767,6212834.69599266
12,Skåne län,1260,Bjuv,1,100.1,377137.350977584,6207959.74680888
12,Skåne län,1260,Bjuv,1,100.1,374235.562149365,6205844.96516997
12,Skåne län,1261,Kävlinge,1,101.1,375653.125718281,6180091.98831426
12,Skåne län,1261,Kävlinge,1,101.1,374237.759515609,6177266.9907661
12,Skåne län,1261,Kävlinge,1,101.1,372675.138506777,6177218.82230953
12,Skåne län,1261,Kävlinge,1,101.1,371620.468556872,6177582.35420547
12,Skåne län,1261,Kävlinge,1,101.1,372358.070056973,6178871.26051607
12,Skåne län,1261,Kävlinge,1,101.1,371624.53585291,6180409.90839658
12,Skåne län,1261,Kävlinge,1,101.1,369836.888984184,6179602.51150754
12,Skåne län,1261,Kävlinge,1,101.1,368810.813165867,6181201.71997849
12,Skåne län,1261,Kävlinge,1,101.1,369780.988493018,6182430.36122689
12,Skåne län,1261,Kävlinge,1,101.1,370561.792063585,6183012.14690069
12,Skåne län,1261,Kävlinge,1,101.1,370090.779916434,6188698.65207761
12,Skåne län,1261,Kävlinge,1,101.1,376114.510806051,6188792.80601014
12,Skåne län,1261,Kävlinge,1,101.1,377757.827528722,6190922.85190469
12,Skåne län,1261,Kävlinge,1,101.1,383265.958458337,6189723.68369657
12,Skåne län,1261,Kävlinge,1,101.1,387993.237106356,6189921.68766799
12,Skåne län,1261,Kävlinge,1,101.1,389125.195262429,6187730.99298184
12,Skåne län,1261,Kävlinge,1,101.1,387979.930391768,6184370.34738655
12,Skåne län,1261,Kävlinge,1,101.1,383583.825382781,6183971.33973268
12,Skåne län,1261,Kävlinge,1,101.1,382958.645565868,6179635.28739073
12,Skåne län,1261,Kävlinge,1,101.1,381782.295576862,6179803.50881617
12,Skåne län,1261,Kävlinge,1,101.1,379820.038246574,6179054.04631491
12,Skåne län,1261,Kävlinge,1,101.1,377959.719727096,6180366.70634302
12,Skåne län,1261,Kävlinge,1,101.1,375653.125718281,6180091.98831426
12,Skåne län,1262,Lomma,1,102.1,375653.125718281,6180091.98831426
12,Skåne län,1262,Lomma,1,102.1,377959.719727096,6180366.70634302
12,Skåne län,1262,Lomma,1,102.1,379820.038246574,6179054.04631491
12,Skåne län,1262,Lomma,1,102.1,381782.295576862,6179803.50881617
12,Skåne län,1262,Lomma,1,102.1,382958.645565868,6179635.28739073
12,Skåne län,1262,Lomma,1,102.1,382488.937945082,6176968.19478442
12,Skåne län,1262,Lomma,1,102.1,381401.105695008,6175799.1369238
12,Skåne län,1262,Lomma,1,102.1,381573.841001469,6174697.72203312
12,Skåne län,1262,Lomma,1,102.1,381178.876495616,6173680.64488331
12,Skåne län,1262,Lomma,1,102.1,381865.571506992,6172731.12405059
12,Skåne län,1262,Lomma,1,102.1,381670.501328781,6170081.2271133
12,Skåne län,1262,Lomma,1,102.1,380749.511719208,6170207.45040162
12,Skåne län,1262,Lomma,1,102.1,380208.213084934,6169741.39623047
12,Skåne län,1262,Lomma,1,102.1,380307.76915272,6168914.98198308
12,Skåne län,1262,Lomma,1,102.1,377465.317986368,6168479.1451161
12,Skåne län,1262,Lomma,1,102.1,377395.034376723,6169280.91766147
12,Skåne län,1262,Lomma,1,102.1,378330.906371565,6171570.60522957
12,Skåne län,1262,Lomma,1,102.1,378290.643005083,6172454.67196272
12,Skåne län,1262,Lomma,1,102.1,377514.918310803,6174700.47731587
12,Skåne län,1262,Lomma,1,102.1,376467.813202562,6175357.94443265
12,Skåne län,1262,Lomma,1,102.1,374237.759515609,6177266.9907661
12,Skåne län,1262,Lomma,1,102.1,375653.125718281,6180091.98831426
12,Skåne län,1263,Svedala,1,103.1,393098.481327127,6149182.67105704
12,Skåne län,1263,Svedala,1,103.1,391765.042073667,6150312.62290369
12,Skåne län,1263,Svedala,1,103.1,389611.638696867,6148976.31548418
12,Skåne län,1263,Svedala,1,103.1,388616.93106046,6149339.57863356
12,Skåne län,1263,Svedala,1,103.1,388762.841187708,6150633.6137003
12,Skåne län,1263,Svedala,1,103.1,387344.787609439,6150528.20999726
12,Skåne län,1263,Svedala,1,103.1,386849.296920827,6149471.99912247
12,Skåne län,1263,Svedala,1,103.1,383990.644102033,6150085.51050392
12,Skåne län,1263,Svedala,1,103.1,384339.973519763,6150731.22771493
